%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581113391120717602,174,1581113391120474100,,0.1917,0.1219,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391145945688,175,1581113391145689010,,0.1935,0.1179,0.3809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391170624016,176,1581113391170332908,,0.1897,0.117,0.3796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391195694214,177,1581113391195390939,,0.1916,0.116,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391220460610,178,1581113391220118045,,0.1936,0.1209,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391246588986,179,1581113391246260881,,0.1916,0.1189,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391270587317,180,1581113391270292997,,0.1926,0.1159,0.3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391295720456,181,1581113391295437097,,0.1906,0.114,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391320593385,182,1581113391320305109,,0.1936,0.1268,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391345431006,183,1581113391345101118,,0.1926,0.1159,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391371806939,184,1581113391371550083,,0.1916,0.112,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391396139041,185,1581113391395889997,,0.1916,0.115,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391420849832,186,1581113391420603990,,0.1916,0.117,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391445581654,187,1581113391445291042,,0.1916,0.116,0.3797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391470462849,188,1581113391470117092,,0.1897,0.117,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391496052499,189,1581113391495784044,,0.1935,0.1149,0.3786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391521675580,190,1581113391521413087,,0.1917,0.1229,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391545648915,191,1581113391545406103,,0.1927,0.1298,0.3819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391573646479,192,1581113391573282957,,0.1917,0.1239,0.3898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391611913862,193,1581113391609370946,,0.1926,0.1159,0.3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
