%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1580869118002149519,96,1580869118001183032,,-0.181,0.0355,0.3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118027329511,97,1580869118026276111,,-0.1775,0.0341,0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118052369410,98,1580869118051131963,,-0.1834,0.0331,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118077295246,99,1580869118076296091,,-0.181,0.0354,0.3352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118102341198,100,1580869118101321935,,-0.1834,0.0355,0.3487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118126852069,101,1580869118125797033,,-0.1821,0.0439,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118151961790,102,1580869118150783061,,-0.1845,0.0356,0.3432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118177399773,103,1580869118176275968,,-0.1798,0.039,0.3366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118201995822,104,1580869118200911998,,-0.1834,0.0343,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118226752217,105,1580869118225584030,,-0.1798,0.0402,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118252862842,106,1580869118251782894,,-0.1834,0.0355,0.3487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118276848809,107,1580869118275758028,,-0.1822,0.0379,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118302234462,108,1580869118300959110,,-0.1845,0.0356,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118326739704,109,1580869118325701951,,-0.1834,0.0343,0.3364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118352430396,110,1580869118350824117,,-0.181,0.0343,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118376811192,111,1580869118375796079,,-0.181,0.0342,0.3365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118403589813,112,1580869118402393102,,-0.1822,0.0367,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118426626183,113,1580869118425580024,,-0.181,0.0367,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118453200459,114,1580869118451617956,,-0.1822,0.0331,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118477525938,115,1580869118476481914,,-0.1822,0.0379,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118502482634,116,1580869118501441955,,-0.1845,0.0392,0.3445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118528089273,117,1580869118526490926,,-0.1811,0.033,0.3365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118553131905,118,1580869118551474094,,-0.1833,0.0415,0.3391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118577532880,119,1580869118576458930,,-0.1811,0.0318,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118602576425,120,1580869118601468086,,-0.1834,0.0355,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118627341797,121,1580869118626291036,,-0.1821,0.0403,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118652586783,122,1580869118651396036,,-0.1834,0.0343,0.3514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118677238509,123,1580869118676274061,,-0.181,0.0342,0.3338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118702453539,124,1580869118701407909,,-0.1798,0.0378,0.3516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118727764840,125,1580869118726650953,,-0.1811,0.033,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118752872606,126,1580869118751713037,,-0.1833,0.0439,0.3432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118778062669,127,1580869118776386022,,-0.1811,0.033,0.3379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118802246447,128,1580869118801213979,,-0.181,0.0367,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118827737587,129,1580869118826709985,,-0.1821,0.0427,0.3405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118852157416,130,1580869118851032972,,-0.181,0.0343,0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118877435409,131,1580869118876218080,,-0.1798,0.0414,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118902100209,132,1580869118901082992,,-0.1834,0.0331,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118928398250,133,1580869118926419019,,-0.181,0.0355,0.3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118952077005,134,1580869118951066970,,-0.1822,0.0391,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869118977318675,135,1580869118976191043,,-0.181,0.0403,0.3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119002626417,136,1580869119001244068,,-0.1834,0.0331,0.3323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119027679644,137,1580869119026664972,,-0.1822,0.0343,0.3337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119052857846,138,1580869119051810979,,-0.1834,0.0295,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119077268797,139,1580869119076092004,,-0.1834,0.0331,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119102025728,140,1580869119100986957,,-0.181,0.0355,0.3474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119127602076,141,1580869119126435041,,-0.1834,0.0355,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119152669034,142,1580869119151274919,,-0.1833,0.0367,0.3432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119177123347,143,1580869119175884008,,-0.1811,0.033,0.3379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119202600908,144,1580869119201586961,,-0.1822,0.0367,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119226527176,145,1580869119225897073,,-0.1821,0.0439,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119252357565,146,1580869119251084089,,-0.1857,0.0356,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119278151276,147,1580869119276576042,,-0.181,0.0342,0.3379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119302417341,148,1580869119301306962,,-0.1787,0.0366,0.3462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119326862194,149,1580869119325773000,,-0.1822,0.0343,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119353306858,150,1580869119352139949,,-0.1822,0.0355,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119376994425,151,1580869119375895023,,-0.1798,0.0378,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119405050246,152,1580869119403989076,,-0.181,0.0355,0.3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119426843055,153,1580869119425848007,,-0.1798,0.0414,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119452579771,154,1580869119451400995,,-0.1834,0.0307,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119476891950,155,1580869119475852966,,-0.1822,0.0367,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119502306833,156,1580869119501231908,,-0.1822,0.0331,0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119526981821,157,1580869119525839090,,-0.1822,0.0391,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119551951602,158,1580869119550741910,,-0.1833,0.0427,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119576793855,159,1580869119575717926,,-0.181,0.0403,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119601722806,160,1580869119600672006,,-0.1845,0.0368,0.3391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119627177054,161,1580869119625730037,,-0.1868,0.0392,0.3431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119652028718,162,1580869119650928020,,-0.1846,0.0308,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119676824240,163,1580869119675740957,,-0.1833,0.0415,0.3432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119702847364,164,1580869119701587915,,-0.1798,0.0378,0.3434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119728094361,165,1580869119726818084,,-0.1834,0.0331,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119752665805,166,1580869119751621961,,-0.1833,0.0367,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119776723938,167,1580869119775633096,,-0.1811,0.0331,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119803060985,168,1580869119801651954,,-0.1822,0.0355,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119828286491,169,1580869119826709985,,-0.1787,0.0366,0.3393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119852761999,170,1580869119851655006,,-0.181,0.0379,0.3461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119877037614,171,1580869119876384973,,-0.1845,0.0356,0.3418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119902735176,172,1580869119901674032,,-0.1809,0.0427,0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119928053254,173,1580869119926744937,,-0.1822,0.0367,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119953020270,174,1580869119952006101,,-0.1822,0.0319,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869119977470253,175,1580869119976447105,,-0.181,0.0342,0.3324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120002401338,176,1580869120001368999,,-0.1822,0.0343,0.3378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120027372257,177,1580869120026336908,,-0.1811,0.033,0.3352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120052641665,178,1580869120051553964,,-0.1823,0.0295,0.3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120077553183,179,1580869120076459884,,-0.1834,0.0331,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120101839605,180,1580869120101219892,,-0.1821,0.0451,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120127470542,181,1580869120126364946,,-0.1822,0.0367,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120152561065,182,1580869120151501893,,-0.1822,0.0343,0.3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120178039844,183,1580869120176358938,,-0.1798,0.0402,0.3379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120202859221,184,1580869120201800107,,-0.181,0.0355,0.3365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120227650361,185,1580869120226629972,,-0.1834,0.0355,0.3391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120252679629,186,1580869120251337051,,-0.1833,0.0367,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120277598427,187,1580869120276288032,,-0.1845,0.0404,0.3432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120302766827,188,1580869120301840066,,-0.1822,0.0319,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120327625008,189,1580869120326322078,,-0.1787,0.0354,0.3366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120353260320,190,1580869120351222038,,-0.1821,0.0403,0.3365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120377941596,191,1580869120376773118,,-0.1799,0.0342,0.3407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120402820469,192,1580869120401643991,,-0.1798,0.045,0.3365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869120427094522,193,1580869120426060914,,-0.181,0.0379,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
